iter	Passed	Remaining
0	6	6193
1	9	4577
2	12	4049
3	15	3829
4	18	3674
5	21	3514
6	24	3413
7	27	3409
8	32	3564
9	35	3524
10	38	3489
11	42	3502
12	46	3537
13	49	3485
14	52	3466
15	56	3462
16	59	3454
17	62	3405
18	65	3386
19	69	3381
20	71	3344
21	74	3303
22	77	3277
23	80	3259
24	82	3232
25	85	3216
26	88	3205
27	91	3189
28	94	3165
29	97	3148
30	101	3181
31	105	3179
32	107	3163
33	111	3180
34	115	3190
35	118	3182
36	121	3174
37	125	3169
38	128	3158
39	131	3164
40	134	3146
41	138	3149
42	142	3166
43	145	3156
44	148	3142
45	150	3130
46	154	3130
47	159	3171
48	163	3164
49	169	3225
50	174	3239
51	177	3227
52	179	3210
53	182	3202
54	186	3201
55	189	3194
56	192	3179
57	195	3168
58	198	3159
59	201	3162
60	205	3159
61	208	3153
62	211	3142
63	214	3140
64	217	3131
65	221	3130
66	224	3125
67	227	3122
68	232	3140
69	235	3134
70	238	3123
71	242	3124
72	245	3116
73	248	3107
74	252	3110
75	255	3105
76	258	3102
77	262	3101
78	265	3097
79	268	3088
80	271	3083
81	274	3075
82	277	3071
83	280	3059
84	283	3048
85	286	3040
86	288	3030
87	291	3021
88	294	3019
89	298	3021
90	301	3010
91	304	3004
92	307	2994
93	309	2984
94	312	2977
95	315	2969
96	318	2961
97	321	2954
98	323	2948
99	327	2946
100	329	2935
101	332	2929
102	336	2926
103	339	2920
104	341	2912
105	344	2903
106	347	2897
107	350	2898
108	353	2890
109	356	2884
110	359	2877
111	362	2875
112	365	2870
113	368	2864
114	371	2856
115	373	2849
116	376	2842
117	379	2837
118	382	2829
119	384	2821
120	387	2813
121	390	2808
122	394	2812
123	397	2806
124	400	2802
125	404	2802
126	407	2801
127	410	2798
128	414	2795
129	417	2792
130	420	2787
131	423	2784
132	426	2777
133	429	2772
134	432	2769
135	434	2763
136	438	2759
137	440	2752
138	443	2745
139	445	2738
140	448	2731
141	451	2727
142	453	2720
143	456	2713
144	459	2706
145	461	2702
146	464	2694
147	467	2688
148	469	2681
149	471	2673
150	474	2666
151	476	2660
152	479	2655
153	482	2650
154	484	2643
155	487	2638
156	490	2631
157	492	2626
158	495	2620
159	497	2613
160	500	2608
161	502	2601
162	505	2594
163	507	2588
164	510	2582
165	513	2580
166	517	2580
167	520	2576
168	522	2571
169	525	2567
170	528	2562
171	531	2560
172	535	2557
173	538	2555
174	540	2549
175	543	2544
176	546	2539
177	549	2537
178	552	2533
179	555	2528
180	558	2525
181	561	2522
182	563	2516
183	566	2511
184	568	2505
185	571	2500
186	574	2497
187	576	2491
188	579	2486
189	581	2480
190	584	2474
191	587	2470
192	589	2465
193	592	2461
194	595	2456
195	597	2451
196	600	2447
197	604	2447
198	606	2442
199	609	2438
200	611	2432
201	614	2429
202	617	2424
203	620	2422
204	623	2418
205	626	2415
206	629	2410
207	632	2410
208	635	2405
209	638	2402
210	642	2400
211	644	2396
212	647	2392
213	649	2386
214	652	2382
215	655	2380
216	659	2378
217	662	2375
218	665	2371
219	667	2366
220	670	2362
221	673	2361
222	677	2360
223	681	2360
224	684	2356
225	687	2354
226	690	2350
227	693	2349
228	696	2346
229	699	2343
230	702	2339
231	705	2334
232	707	2329
233	710	2325
234	712	2320
235	715	2316
236	718	2312
237	720	2307
238	723	2303
239	726	2301
240	729	2297
241	732	2295
242	736	2294
243	739	2292
244	743	2290
245	746	2287
246	749	2283
247	752	2280
248	755	2278
249	760	2280
250	762	2276
251	765	2272
252	768	2269
253	771	2266
254	774	2261
255	777	2258
256	779	2254
257	782	2251
258	786	2250
259	789	2245
260	791	2240
261	794	2236
262	796	2232
263	799	2229
264	801	2223
265	804	2219
266	806	2214
267	809	2210
268	812	2208
269	815	2205
270	818	2202
271	821	2198
272	824	2195
273	826	2190
274	830	2189
275	833	2185
276	838	2187
277	841	2186
278	845	2184
279	848	2180
280	850	2176
281	853	2172
282	856	2169
283	858	2165
284	861	2160
285	864	2157
286	867	2154
287	869	2150
288	873	2147
289	875	2143
290	878	2139
291	881	2136
292	884	2133
293	887	2130
294	890	2127
295	893	2124
296	895	2120
297	898	2117
298	902	2114
299	904	2111
300	906	2105
301	909	2101
302	911	2097
303	914	2094
304	917	2090
305	919	2086
306	922	2083
307	925	2079
308	928	2076
309	930	2072
310	933	2068
311	936	2065
312	939	2062
313	942	2058
314	945	2055
315	947	2051
316	950	2048
317	953	2044
318	957	2043
319	960	2040
320	962	2036
321	966	2034
322	968	2030
323	971	2027
324	975	2025
325	979	2024
326	984	2025
327	986	2021
328	989	2017
329	992	2015
330	996	2014
331	999	2011
332	1002	2008
333	1006	2006
334	1009	2003
335	1013	2003
336	1018	2004
337	1021	2000
338	1024	1997
339	1027	1994
340	1031	1993
341	1034	1990
342	1037	1987
343	1040	1983
344	1044	1983
345	1047	1979
346	1049	1975
347	1052	1971
348	1055	1968
349	1058	1965
350	1061	1961
351	1064	1959
352	1066	1955
353	1069	1951
354	1072	1949
355	1075	1945
356	1077	1941
357	1080	1937
358	1083	1934
359	1086	1930
360	1089	1928
361	1092	1925
362	1095	1921
363	1097	1918
364	1101	1915
365	1103	1911
366	1106	1908
367	1110	1906
368	1113	1903
369	1116	1900
370	1119	1898
371	1123	1896
372	1126	1893
373	1130	1891
374	1133	1888
375	1136	1886
376	1139	1883
377	1142	1879
